"V1" "V2" "V3"
"10818" "Sdha" "Sdha" "Sdha"
"10819" "1110038F14Rik" "1110038F14Rik" "1110038F14Rik"
"10820" "Pbx4" "Pbx4" "Pbx4"
"10821" "Ankrd16" "Ankrd16" "Ankrd16"
"10822" "Copb1" "Copb1" "Copb1"
"10823" "Dtwd2" "Dtwd2" "Dtwd2"
"10824" "Cypt12" "Cypt12" "Cypt12"
"10825" "2310033P09Rik" "2310033P09Rik" "2310033P09Rik"
"10826" "Tas2r134" "Tas2r134" "Tas2r134"
"10827" "Mb" "Mb" "Mb"
"10828" "Pros1" "Pros1" "Pros1"
"10829" "Tpx2" "Tpx2" "Tpx2"
"10830" "Cyp7b1" "Cyp7b1" "Cyp7b1"
"10831" "Psma1" "Psma1" "Psma1"
"10832" "Armc1" "Armc1" "Armc1"
"10833" "Arf1" "Arf1" "Arf1"
"10834" "Apol6" "Apol6" "Apol6"
"10835" "Hdlbp" "Hdlbp" "Hdlbp"
"10836" "Smarca2" "Smarca2" "Smarca2"
"10837" "Ankra2" "Ankra2" "Ankra2"
"10838" "Lrrtm4" "Lrrtm4" "Lrrtm4"
"10839" "Lrrc18" "Lrrc18" "Lrrc18"
"10840" "Cspp1" "Cspp1" "Cspp1"
"10841" "Wnt3a" "Wnt3a" "Wnt3a"
"10842" "Ogt" "Ogt" "Ogt"
"10843" "Ttf2" "Ttf2" "Ttf2"
"10844" "Sdhb" "Sdhb" "Sdhb"
"10845" "Echs1" "Echs1" "Echs1"
"10846" "Mtfr1" "Mtfr1" "Mtfr1"
"10847" "Epha3" "Epha3" "Epha3"
"10848" "Asah1" "Asah1" "Asah1"
"10849" "Gucy2g" "Gucy2g" "Gucy2g"
"10850" "Map3k14" "Map3k14" "Map3k14"
"10851" "Alad" "Alad" "Alad"
"10852" "Inpp4b" "Inpp4b" "Inpp4b"
"10853" "Cpne1" "Cpne1" "Cpne1"
"10854" "Wbp7" "Wbp7" "Wbp7"
"10855" "Smg6" "Smg6" "Smg6"
"10856" "Rnf185" "Rnf185" "Rnf185"
"10857" "Hkdc1" "Hkdc1" "Hkdc1"
"10858" "Paox" "Paox" "Paox"
"10859" "Acsl5" "Acsl5" "Acsl5"
"10860" "Zxdc" "Zxdc" "Zxdc"
"10861" "Igsf9b" "Igsf9b" "Igsf9b"
"10862" "Olfr1370" "Olfr1370" "Olfr1370"
"10863" "Met" "Met" "Met"
"10864" "Cyp21a1" "Cyp21a1" "Cyp21a1"
"10865" "Olfr1368" "Olfr1368" "Olfr1368"
"10866" "Mtg1" "Mtg1" "Mtg1"
"10867" "Trim27" "Trim27" "Trim27"
"10868" "Jmjd4" "Jmjd4" "Jmjd4"
"10869" "Cyp2j9" "Cyp2j9" "Cyp2j9"
"10870" "4930453N24Rik" "4930453N24Rik" "4930453N24Rik"
"10871" "Sept2" "Sept2" "Sept2"
"10872" "Tspan10" "Tspan10" "Tspan10"
"10873" "Cep110" "Cep110" "Cep110"
"10874" "Defb12" "Defb12" "Defb12"
"10875" "Dlx3" "Dlx3" "Dlx3"
"10876" "Zfp654" "Zfp654" "Zfp654"
"10877" "Ftcd" "Ftcd" "Ftcd"
"10878" "Gcnt2" "Gcnt2" "Gcnt2"
"10879" "Pde3b" "Pde3b" "Pde3b"
"10880" "Cggbp1" "Cggbp1" "Cggbp1"
"10881" "Stk19" "Stk19" "Stk19"
"10882" "Pus7l" "Pus7l" "Pus7l"
"10883" "Cxcr3" "Cxcr3" "Cxcr3"
"10884" "Rxfp4" "Rxfp4" "Rxfp4"
"10885" "Htr1f" "Htr1f" "Htr1f"
"10886" "Dlx4" "Dlx4" "Dlx4"
"10887" "Fbxw14" "Fbxw14" "Fbxw14"
"10888" "Crebl2" "Crebl2" "Crebl2"
"10889" "Dact1" "Dact1" "Dact1"
"10890" "Slc25a31" "Slc25a31" "Slc25a31"
"10891" "Hic1" "Hic1" "Hic1"
"10892" "Nmi" "Nmi" "Nmi"
"10893" "Ccdc127" "Ccdc127" "Ccdc127"
"10894" "Pou1f1" "Pou1f1" "Pou1f1"
"10895" "8030474K03Rik" "8030474K03Rik" "8030474K03Rik"
"10896" "Ovca2" "Ovca2" "Ovca2"
"10897" "Ythdf1" "Ythdf1" "Ythdf1"
"10898" "Irak4" "Irak4" "Irak4"
"10899" "Zdhhc6" "Zdhhc6" "Zdhhc6"
"10900" "Ccdc37" "Ccdc37" "Ccdc37"
"10901" "Slc39a8" "Slc39a8" "Slc39a8"
"10902" "Fzd4" "Fzd4" "Fzd4"
"10903" "Daam1" "Daam1" "Daam1"
"10904" "Chmp2b" "Chmp2b" "Chmp2b"
"10905" "Dph1" "Dph1" "Dph1"
"10906" "Dom3z" "Dom3z" "Dom3z"
"10907" "Prss23" "Prss23" "Prss23"
"10908" "Gripap1" "Gripap1" "Gripap1"
"10909" "Birc7" "Birc7" "Birc7"
"10910" "Clstn3" "Clstn3" "Clstn3"
"10911" "Pak1ip1" "Pak1ip1" "Pak1ip1"
"10912" "Rpap1" "Rpap1" "Rpap1"
"10913" "1700093K21Rik" "1700093K21Rik" "1700093K21Rik"
"10914" "Dmxl1" "Dmxl1" "Dmxl1"
"10915" "Me3" "Me3" "Me3"
"10916" "Svop" "Svop" "Svop"
"10917" "Map3k11" "Map3k11" "Map3k11"
"10918" "Cyp2r1" "Cyp2r1" "Cyp2r1"
"10919" "2810403A07Rik" "2810403A07Rik" "2810403A07Rik"
"10920" "Kcnk7" "Kcnk7" "Kcnk7"
"10921" "Rgag4" "Rgag4" "Rgag4"
"10922" "Mxd3" "Mxd3" "Mxd3"
"10923" "Moap1" "Moap1" "Moap1"
"10924" "Grid2ip" "Grid2ip" "Grid2ip"
"10925" "Fbxl22" "Fbxl22" "Fbxl22"
"10926" "Pin4" "Pin4" "Pin4"
"10927" "Nr2c1" "Nr2c1" "Nr2c1"
"10928" "Calca" "Calca" "Calca"
"10929" "Klhl7" "Klhl7" "Klhl7"
"10930" "Ccr10" "Ccr10" "Ccr10"
"10931" "Cyb5r4" "Cyb5r4" "Cyb5r4"
"10932" "Vti1a" "Vti1a" "Vti1a"
"10933" "Atp13a2" "Atp13a2" "Atp13a2"
"10934" "Rtn4rl1" "Rtn4rl1" "Rtn4rl1"
"10935" "Slc7a6" "Slc7a6" "Slc7a6"
"10936" "Il12a" "Il12a" "Il12a"
"10937" "Ercc6l" "Ercc6l" "Ercc6l"
"10938" "Skiv2l" "Skiv2l" "Skiv2l"
"10939" "Ccdc81" "Ccdc81" "Ccdc81"
"10940" "Odf1" "Odf1" "Odf1"
"10941" "Rufy4" "Rufy4" "Rufy4"
"10942" "Hspa4l" "Hspa4l" "Hspa4l"
"10943" "Rps4x" "Rps4x" "Rps4x"
"10944" "Tnfaip8" "Tnfaip8" "Tnfaip8"
"10945" "Klf10" "Klf10" "Klf10"
"10946" "Calcb" "Calcb" "Calcb"
"10947" "Sdccag3" "Sdccag3" "Sdccag3"
"10948" "Pla2g3" "Pla2g3" "Pla2g3"
"10949" "Paics" "Paics" "Paics"
"10950" "Rpa1" "Rpa1" "Rpa1"
"10951" "Usp3" "Usp3" "Usp3"
"10952" "Olfr222" "Olfr222" "Olfr222"
"10953" "Olfr223" "Olfr223" "Olfr223"
"10954" "Olfr225" "Olfr225" "Olfr225"
"10955" "Azin1" "Azin1" "Azin1"
"10956" "Slmap" "Slmap" "Slmap"
"10957" "Gbe1" "Gbe1" "Gbe1"
"10958" "Kdelr2" "Kdelr2" "Kdelr2"
"10959" "Btbd7" "Btbd7" "Btbd7"
"10960" "Cited1" "Cited1" "Cited1"
"10961" "Ezh1" "Ezh1" "Ezh1"
"10962" "Arhgap22" "Arhgap22" "Arhgap22"
"10963" "Sprn" "Sprn" "Sprn"
"10964" "Upk1a" "Upk1a" "Upk1a"
"10965" "Cox8c" "Cox8c" "Cox8c"
"10966" "Odf2" "Odf2" "Odf2"
"10967" "0610010F05Rik" "0610010F05Rik" "0610010F05Rik"
"10968" "Gm815" "Gm815" "Gm815"
"10969" "Olfr522" "Olfr522" "Olfr522"
"10970" "Hdac8" "Hdac8" "Hdac8"
"10971" "Olfr523" "Olfr523" "Olfr523"
"10972" "Arpc2" "Arpc2" "Arpc2"
"10973" "Cox6b1" "Cox6b1" "Cox6b1"
"10974" "Eed" "Eed" "Eed"
"10975" "Gpx5" "Gpx5" "Gpx5"
"10976" "Etv2" "Etv2" "Etv2"
"10977" "Cnot4" "Cnot4" "Cnot4"
"10978" "Ndufa13" "Ndufa13" "Ndufa13"
"10979" "Arfgap1" "Arfgap1" "Arfgap1"
"10980" "Gpr135" "Gpr135" "Gpr135"
"10981" "Robo1" "Robo1" "Robo1"
"10982" "Gtf2h1" "Gtf2h1" "Gtf2h1"
"10983" "Nupl2" "Nupl2" "Nupl2"
"10984" "Hsd17b4" "Hsd17b4" "Hsd17b4"
"10985" "Smyd4" "Smyd4" "Smyd4"
"10986" "Timp4" "Timp4" "Timp4"
"10987" "Srp72" "Srp72" "Srp72"
"10988" "Farp2" "Farp2" "Farp2"
"10989" "Pde7a" "Pde7a" "Pde7a"
"10990" "Zc3h8" "Zc3h8" "Zc3h8"
"10991" "Rara" "Rara" "Rara"
"10992" "Cyp2j5" "Cyp2j5" "Cyp2j5"
"10993" "Pparg" "Pparg" "Pparg"
"10994" "Lcp1" "Lcp1" "Lcp1"
"10995" "Fbxw19" "Fbxw19" "Fbxw19"
"10996" "Gpbar1" "Gpbar1" "Gpbar1"
"10997" "Defb4" "Defb4" "Defb4"
"10998" "Gatad2a" "Gatad2a" "Gatad2a"
"10999" "Aamp" "Aamp" "Aamp"
"11000" "Cdkn1b" "Cdkn1b" "Cdkn1b"
"11001" "Atp6v1c1" "Atp6v1c1" "Atp6v1c1"
"11002" "Rac1" "Rac1" "Rac1"
"11003" "Slc37a4" "Slc37a4" "Slc37a4"
"11004" "1700015F17Rik" "1700015F17Rik" "1700015F17Rik"
"11005" "Serpinf1" "Serpinf1" "Serpinf1"
"11006" "Lman2" "Lman2" "Lman2"
"11007" "Tmem117" "Tmem117" "Tmem117"
"11008" "Klf17" "Klf17" "Klf17"
"11009" "Slc7a6os" "Slc7a6os" "Slc7a6os"
"11010" "Esr1" "Esr1" "Esr1"
"11011" "Olfr536" "Olfr536" "Olfr536"
"11012" "Tcf7l2" "Tcf7l2" "Tcf7l2"
"11013" "Eps8l3" "Eps8l3" "Eps8l3"
"11014" "Arhgap27" "Arhgap27" "Arhgap27"
"11015" "Trappc4" "Trappc4" "Trappc4"
"11016" "Nfs1" "Nfs1" "Nfs1"
"11017" "Pde6g" "Pde6g" "Pde6g"
"11018" "Spata19" "Spata19" "Spata19"
"11019" "Vldlr" "Vldlr" "Vldlr"
"11020" "Col6a2" "Col6a2" "Col6a2"
"11021" "Stk25" "Stk25" "Stk25"
"11022" "Cthrc1" "Cthrc1" "Cthrc1"
"11023" "Nell2" "Nell2" "Nell2"
"11024" "Ldha" "Ldha" "Ldha"
"11025" "Snx17" "Snx17" "Snx17"
"11026" "Pnkd" "Pnkd" "Pnkd"
"11027" "Rps25" "Rps25" "Rps25"
"11028" "Cldn12" "Cldn12" "Cldn12"
"11029" "Scn9a" "Scn9a" "Scn9a"
"11030" "Prmt7" "Prmt7" "Prmt7"
"11031" "Opcml" "Opcml" "Opcml"
"11032" "Aes" "Aes" "Aes"
"11033" "Casc4" "Casc4" "Casc4"
"11034" "Klf15" "Klf15" "Klf15"
"11035" "Gpr3" "Gpr3" "Gpr3"
"11036" "Cyp2e1" "Cyp2e1" "Cyp2e1"
"11037" "Ift80" "Ift80" "Ift80"
"11038" "Tgfbr1" "Tgfbr1" "Tgfbr1"
"11039" "Robo2" "Robo2" "Robo2"
"11040" "Zmpste24" "Zmpste24" "Zmpste24"
"11041" "Bok" "Bok" "Bok"
"11042" "Cd164l2" "Cd164l2" "Cd164l2"
"11043" "Serpinf2" "Serpinf2" "Serpinf2"
"11044" "Usp30" "Usp30" "Usp30"
"11045" "Ccdc84" "Ccdc84" "Ccdc84"
"11046" "Thap4" "Thap4" "Thap4"
"11047" "Rtn1" "Rtn1" "Rtn1"
"11048" "Mrpl19" "Mrpl19" "Mrpl19"
"11049" "Arid3b" "Arid3b" "Arid3b"
"11050" "Itga8" "Itga8" "Itga8"
"11051" "Alkbh2" "Alkbh2" "Alkbh2"
"11052" "Slc6a9" "Slc6a9" "Slc6a9"
"11053" "Slc22a14" "Slc22a14" "Slc22a14"
"11054" "Phka1" "Phka1" "Phka1"
"11055" "Kcnd1" "Kcnd1" "Kcnd1"
"11056" "Alg2" "Alg2" "Alg2"
"11057" "Atg4b" "Atg4b" "Atg4b"
"11058" "Sec61b" "Sec61b" "Sec61b"
"11059" "C1rl" "C1rl" "C1rl"
"11060" "Sim1" "Sim1" "Sim1"
"11061" "1190003J15Rik" "1190003J15Rik" "1190003J15Rik"
"11062" "Sssca1" "Sssca1" "Sssca1"
"11063" "Zc3h6" "Zc3h6" "Zc3h6"
"11064" "Arfgef1" "Arfgef1" "Arfgef1"
"11065" "Slc22a13" "Slc22a13" "Slc22a13"
"11066" "Slc25a32" "Slc25a32" "Slc25a32"
"11067" "Nup205" "Nup205" "Nup205"
"11068" "Gpx6" "Gpx6" "Gpx6"
"11069" "Tle2" "Tle2" "Tle2"
"11070" "Apoh" "Apoh" "Apoh"
"11071" "Dusp15" "Dusp15" "Dusp15"
"11072" "Tsen2" "Tsen2" "Tsen2"
"11073" "Pex13" "Pex13" "Pex13"
"11074" "Rit1" "Rit1" "Rit1"
"11075" "Hdhd1a" "Hdhd1a" "Hdhd1a"
"11076" "Rgs14" "Rgs14" "Rgs14"
"11077" "Prr16" "Prr16" "Prr16"
"11078" "Aldh1l1" "Aldh1l1" "Aldh1l1"
"11079" "Il15" "Il15" "Il15"
"11080" "Kcnh2" "Kcnh2" "Kcnh2"
"11081" "Ltbp3" "Ltbp3" "Ltbp3"
"11082" "Tmbim1" "Tmbim1" "Tmbim1"
"11083" "Nr4a3" "Nr4a3" "Nr4a3"
"11084" "Ftmt" "Ftmt" "Ftmt"
"11085" "Crispld2" "Crispld2" "Crispld2"
"11086" "Otud5" "Otud5" "Otud5"
"11087" "Srfbp1" "Srfbp1" "Srfbp1"
"11088" "Bank1" "Bank1" "Bank1"
"11089" "Wdr81" "Wdr81" "Wdr81"
"11090" "Uck1" "Uck1" "Uck1"
"11091" "Cfb" "Cfb" "Cfb"
"11092" "Rims2" "Rims2" "Rims2"
"11093" "Arid2" "Arid2" "Arid2"
"11094" "Lox" "Lox" "Lox"
"11095" "Olfr1367" "Olfr1367" "Olfr1367"
"11096" "Rbm11" "Rbm11" "Rbm11"
"11097" "Gp49a" "Gp49a" "Gp49a"
"11098" "Tmem14c" "Tmem14c" "Tmem14c"
"11099" "Slc34a1" "Slc34a1" "Slc34a1"
"11100" "Ddx47" "Ddx47" "Ddx47"
"11101" "Gja4" "Gja4" "Gja4"
"11102" "Myo1a" "Myo1a" "Myo1a"
"11103" "Ung" "Ung" "Ung"
"11104" "Tacr1" "Tacr1" "Tacr1"
"11105" "Gstm5" "Gstm5" "Gstm5"
"11106" "Flcn" "Flcn" "Flcn"
"11107" "Stx17" "Stx17" "Stx17"
"11108" "Cpb2" "Cpb2" "Cpb2"
"11109" "Ldhc" "Ldhc" "Ldhc"
"11110" "Gjb3" "Gjb3" "Gjb3"
"11111" "Kif1b" "Kif1b" "Kif1b"
"11112" "Mak" "Mak" "Mak"
"11113" "Zfp72" "Zfp72" "Zfp72"
"11114" "Picalm" "Picalm" "Picalm"
"11115" "Pfn3" "Pfn3" "Pfn3"
"11116" "Odf3" "Odf3" "Odf3"
"11117" "Xab2" "Xab2" "Xab2"
"11118" "Dnajc5b" "Dnajc5b" "Dnajc5b"
"11119" "Ssbp3" "Ssbp3" "Ssbp3"
"11120" "Ppp3ca" "Ppp3ca" "Ppp3ca"
"11121" "Gm216" "Gm216" "Gm216"
"11122" "Dtymk" "Dtymk" "Dtymk"
"11123" "Ptbp2" "Ptbp2" "Ptbp2"
"11124" "Samsn1" "Samsn1" "Samsn1"
"11125" "Tmem68" "Tmem68" "Tmem68"
"11126" "Atp4a" "Atp4a" "Atp4a"
"11127" "Insc" "Insc" "Insc"
"11128" "Scyl1" "Scyl1" "Scyl1"
"11129" "Bet1l" "Bet1l" "Bet1l"
"11130" "Map3k6" "Map3k6" "Map3k6"
"11131" "Oxsr1" "Oxsr1" "Oxsr1"
"11132" "Cpa6" "Cpa6" "Cpa6"
"11133" "Cops3" "Cops3" "Cops3"
"11134" "Ing5" "Ing5" "Ing5"
"11135" "Ric8" "Ric8" "Ric8"
"11136" "Lrrc9" "Lrrc9" "Lrrc9"
"11137" "Slc11a1" "Slc11a1" "Slc11a1"
"11138" "Cd59a" "Cd59a" "Cd59a"
"11139" "Top2a" "Top2a" "Top2a"
"11140" "D2hgdh" "D2hgdh" "D2hgdh"
"11141" "Pole4" "Pole4" "Pole4"
"11142" "Tmc6" "Tmc6" "Tmc6"
"11143" "Ptgfrn" "Ptgfrn" "Ptgfrn"
"11144" "Nrip1" "Nrip1" "Nrip1"
"11145" "Smc4" "Smc4" "Smc4"
"11146" "Arl9" "Arl9" "Arl9"
"11147" "Foxr1" "Foxr1" "Foxr1"
"11148" "Gm9843" "Fau" "Gm9843"
"11149" "C2" "C2" "C2"
"11150" "Sirt3" "Sirt3" "Sirt3"
"11151" "Lilrb4" "Lilrb4" "Lilrb4"
"11152" "Usp25" "Usp25" "Usp25"
"11153" "Zfp474" "Zfp474" "Zfp474"
"11154" "Tsg101" "Tsg101" "Tsg101"
"11155" "Nt5m" "Nt5m" "Nt5m"
"11156" "Rbm12" "Rbm12" "Rbm12"
"11157" "Upk2" "Upk2" "Upk2"
"11158" "Usp42" "Usp42" "Usp42"
"11159" "Smtn" "Smtn" "Smtn"
"11160" "Rlf" "Rlf" "Rlf"
"11161" "Slc13a4" "Slc13a4" "Slc13a4"
"11162" "Spert" "Spert" "Spert"
"11163" "Gykl1" "Gykl1" "Gykl1"
"11164" "Trim55" "Trim55" "Trim55"
"11165" "Pole3" "Pole3" "Pole3"
"11166" "Slc38a1" "Slc38a1" "Slc38a1"
"11167" "Acacb" "Acacb" "Acacb"
"11168" "Cxadr" "Cxadr" "Cxadr"
"11169" "1700023E05Rik" "1700023E05Rik" "1700023E05Rik"
"11170" "Pim2" "Pim2" "Pim2"
"11171" "Bcl9l" "Bcl9l" "Bcl9l"
"11172" "Prpf8" "Prpf8" "Prpf8"
"11173" "Tnfaip6" "Tnfaip6" "Tnfaip6"
"11174" "Car12" "Car12" "Car12"
"11175" "Ctdsp1" "Ctdsp1" "Ctdsp1"
"11176" "Snx19" "Snx19" "Snx19"
"11177" "Med9" "Med9" "Med9"
"11178" "Rel" "Rel" "Rel"
"11179" "Syne1" "Syne1" "Syne1"
"11180" "Kcnv2" "Kcnv2" "Kcnv2"
"11181" "Rasd1" "Rasd1" "Rasd1"
"11182" "Crh" "Crh" "Crh"
"11183" "Dpys" "Dpys" "Dpys"
"11184" "D19Bwg1357e" "D19Bwg1357e" "D19Bwg1357e"
"11185" "Slc35a2" "Slc35a2" "Slc35a2"
"11186" "Rwdd3" "Rwdd3" "Rwdd3"
"11187" "1700031F05Rik" "1700031F05Rik" "1700031F05Rik"
"11188" "Syt11" "Syt11" "Syt11"
"11189" "Tac2" "Tac2" "Tac2"
"11190" "Hk2" "Hk2" "Hk2"
"11191" "Cyp4a14" "Cyp4a14" "Cyp4a14"
"11192" "Slc38a2" "Slc38a2" "Slc38a2"
"11193" "2510049J12Rik" "2510049J12Rik" "2510049J12Rik"
"11194" "Pemt" "Pemt" "Pemt"
"11195" "Sncaip" "Sncaip" "Sncaip"
"11196" "Mapk8" "Mapk8" "Mapk8"
"11197" "Mtpn" "Mtpn" "Mtpn"
"11198" "Btg3" "Btg3" "Btg3"
"11199" "Gal3st2" "Gal3st2" "Gal3st2"
"11200" "Gtpbp10" "Gtpbp10" "Gtpbp10"
"11201" "Uevld" "Uevld" "Uevld"
"11202" "Dmrtc1a" "Dmrtc1a" "Dmrtc1a"
"11203" "Slc38a4" "Slc38a4" "Slc38a4"
"11204" "Zbtb12" "Zbtb12" "Zbtb12"
"11205" "Lrp12" "Lrp12" "Lrp12"
"11206" "Zbtb39" "Zbtb39" "Zbtb39"
"11207" "Megf6" "Megf6" "Megf6"
"11208" "D16Ertd472e" "D16Ertd472e" "D16Ertd472e"
"11209" "4933430I17Rik" "4933430I17Rik" "4933430I17Rik"
"11210" "Myd88" "Myd88" "Myd88"
"11211" "Rdh1" "Rdh1" "Rdh1"
"11212" "Ccdc83" "Ccdc83" "Ccdc83"
"11213" "9330182O14Rik" "9330182O14Rik" "9330182O14Rik"
"11214" "4930564B18Rik" "4930564B18Rik" "4930564B18Rik"
"11215" "Zfpm2" "Zfpm2" "Zfpm2"
"11216" "Tigd3" "Tigd3" "Tigd3"
"11217" "Pdcd1" "Pdcd1" "Pdcd1"
"11218" "Cp" "Cp" "Cp"
"11219" "Frg1" "Frg1" "Frg1"
"11220" "Cog3" "Cog3" "Cog3"
"11221" "Papolg" "Papolg" "Papolg"
"11222" "Psmd13" "Psmd13" "Psmd13"
"11223" "Vil1" "Vil1" "Vil1"
"11224" "Chrm2" "Chrm2" "Chrm2"
"11225" "Selenbp2" "Selenbp2" "Selenbp2"
"11226" "Gcm2" "Gcm2" "Gcm2"
"11227" "St8sia4" "St8sia4" "St8sia4"
"11228" "Mkrn2" "Mkrn2" "Mkrn2"
"11229" "Chodl" "Chodl" "Chodl"
"11230" "Nap1l2" "Nap1l2" "Nap1l2"
"11231" "Dpf2" "Dpf2" "Dpf2"
"11232" "Tmem147" "Tmem147" "Tmem147"
"11233" "Rai1" "Rai1" "Rai1"
"11234" "Cdx4" "Cdx4" "Cdx4"
"11235" "Rdh9" "Rdh9" "Rdh9"
"11236" "Slco4c1" "Slco4c1" "Slco4c1"
"11237" "Adamts15" "Adamts15" "Adamts15"
"11238" "Zdhhc7" "Zdhhc7" "Zdhhc7"
"11239" "Ptn" "Ptn" "Ptn"
"11240" "Rif1" "Rif1" "Rif1"
"11241" "Gjb4" "Gjb4" "Gjb4"
"11242" "Gstm7" "Gstm7" "Gstm7"
"11243" "Raf1" "Raf1" "Raf1"
"11244" "Chrm4" "Chrm4" "Chrm4"
"11245" "Gapdhs" "Gapdhs" "Gapdhs"
"11246" "Eif2ak1" "Eif2ak1" "Eif2ak1"
"11247" "Tsx" "Tsx" "Tsx"
"11248" "Gjb5" "Gjb5" "Gjb5"
"11249" "Adamts8" "Adamts8" "Adamts8"
"11250" "Rfx3" "Rfx3" "Rfx3"
"11251" "Oxr1" "Oxr1" "Oxr1"
"11252" "Ehmt2" "Ehmt2" "Ehmt2"
"11253" "Ndufa12" "Ndufa12" "Ndufa12"
"11254" "Amigo2" "Amigo2" "Amigo2"
"11255" "Sbsn" "Sbsn" "Sbsn"
"11256" "Spty2d1" "Spty2d1" "Spty2d1"
"11257" "C1s" "C1s" "C1s"
"11258" "Slco6b1" "Slco6b1" "Slco6b1"
"11259" "Rgs3" "Rgs3" "Rgs3"
"11260" "Mdk" "Mdk" "Mdk"
"11261" "Slc16a2" "Slc16a2" "Slc16a2"
"11262" "Tmem86a" "Tmem86a" "Tmem86a"
"11263" "Slco6c1" "Slco6c1" "Slco6c1"
"11264" "Srebf1" "Srebf1" "Srebf1"
"11265" "Gprc6a" "Gprc6a" "Gprc6a"
"11266" "Pqbp1" "Pqbp1" "Pqbp1"
"11267" "Stk11" "Stk11" "Stk11"
"11268" "Col20a1" "Col20a1" "Col20a1"
"11269" "Hmgb4" "Hmgb4" "Hmgb4"
"11270" "Ubl7" "Ubl7" "Ubl7"
"11271" "D1Ertd622e" "D1Ertd622e" "D1Ertd622e"
"11272" "Lyn" "Lyn" "Lyn"
"11273" "Ptpn5" "Ptpn5" "Ptpn5"
"11274" "Supv3l1" "Supv3l1" "Supv3l1"
"11275" "Slc25a30" "Slc25a30" "Slc25a30"
"11276" "Aph1b" "Aph1b" "Aph1b"
"11277" "Rbm39" "Rbm39" "Rbm39"
"11278" "Ncam2" "Ncam2" "Ncam2"
"11279" "Timm17b" "Timm17b" "Timm17b"
"11280" "Dhrs7" "Dhrs7" "Dhrs7"
"11281" "Zfp42" "Zfp42" "Zfp42"
"11282" "Dgki" "Dgki" "Dgki"
"11283" "Invs" "Invs" "Invs"
"11284" "Ppm1a" "Ppm1a" "Ppm1a"
"11285" "Sytl2" "Sytl2" "Sytl2"
"11286" "Asb2" "Asb2" "Asb2"
"11287" "Adam26a" "Adam26a" "Adam26a"
"11288" "Pcp2" "Pcp2" "Pcp2"
"11289" "Ehmt1" "Ehmt1" "Ehmt1"
"11290" "C77370" "C77370" "C77370"
"11291" "Cox8b" "Cox8b" "Cox8b"
"11292" "Sema7a" "Sema7a" "Sema7a"
"11293" "Nfia" "Nfia" "Nfia"
"11294" "Mageb3" "Mageb3" "Mageb3"
"11295" "Mrpl39" "Mrpl39" "Mrpl39"
"11296" "Abcb7" "Abcb7" "Abcb7"
"11297" "Cdc42ep2" "Cdc42ep2" "Cdc42ep2"
"11298" "Adam34" "Adam34" "Adam34"
"11299" "Pcsk1n" "Pcsk1n" "Pcsk1n"
"11300" "A830018L16Rik" "A830018L16Rik" "A830018L16Rik"
"11301" "Rilp" "Rilp" "Rilp"
"11302" "9530002B09Rik" "9530002B09Rik" "9530002B09Rik"
"11303" "Eras" "Eras" "Eras"
"11304" "Snx2" "Snx2" "Snx2"
"11305" "Tmcc3" "Tmcc3" "Tmcc3"
"11306" "Sema4f" "Sema4f" "Sema4f"
"11307" "Plk4" "Plk4" "Plk4"
"11308" "Slc35b1" "Slc35b1" "Slc35b1"
"11309" "Rdh16" "Rdh16" "Rdh16"
"11310" "Gstm6" "Gstm6" "Gstm6"
"11311" "Jam2" "Jam2" "Jam2"
"11312" "Pola2" "Pola2" "Pola2"
"11313" "Rapgef3" "Rapgef3" "Rapgef3"
"11314" "Ctdspl2" "Ctdspl2" "Ctdspl2"
"11315" "Myh9" "Myh9" "Myh9"
"11316" "Slc44a4" "Slc44a4" "Slc44a4"
"11317" "Rps20" "Rps20" "Rps20"
"11318" "Ppt1" "Ppt1" "Ppt1"
"11319" "Athl1" "Athl1" "Athl1"
"11320" "Abra" "Abra" "Abra"
"11321" "Snx24" "Snx24" "Snx24"
"11322" "Angpt1" "Angpt1" "Angpt1"
"11323" "BC089597" "BC089597" "BC089597"
"11324" "Ppic" "Ppic" "Ppic"
"11325" "Six6" "Six6" "Six6"
"11326" "Glis3" "Glis3" "Glis3"
"11327" "Tom1l2" "Tom1l2" "Tom1l2"
"11328" "Atp5j" "Atp5j" "Atp5j"
"11329" "Scarf1" "Scarf1" "Scarf1"
"11330" "Zdhhc15" "Zdhhc15" "Zdhhc15"
"11331" "Rspo2" "Rspo2" "Rspo2"
"11332" "Spink2" "Spink2" "Spink2"
"11333" "Emcn" "Emcn" "Emcn"
"11334" "A330021E22Rik" "A330021E22Rik" "A330021E22Rik"
"11335" "Prdm6" "Prdm6" "Prdm6"
"11336" "Sytl1" "Sytl1" "Sytl1"
"11337" "Magee2" "Magee2" "Magee2"
"11338" "Six1" "Six1" "Six1"
"11339" "Mos" "Mos" "Mos"
"11340" "Gabpa" "Gabpa" "Gabpa"
"11341" "Slc22a20" "Slc22a20" "Slc22a20"
"11342" "Chrna4" "Chrna4" "Chrna4"
"11343" "Flnb" "Flnb" "Flnb"
"11344" "Plag1" "Plag1" "Plag1"
"11345" "Ccdc89" "Ccdc89" "Ccdc89"
"11346" "Gm11273" "Cox5b" "Gm11273"
"11347" "Tpt1" "Tpt1" "Tpt1"
"11348" "6430548M08Rik" "6430548M08Rik" "6430548M08Rik"
