"gene name","entrez"
"Calb2","75492430",
"Rnf126","70473981",
"Tgif2","73584819",
"Cbx5","199",
"Fkbp11","68191450",
"Gls2","69289069",
"Itlnb","81655574",
"Det1","68632026",
"Abca2","69514530",
"4022404D01Rik*","73906461",
"Mm.246775","71456142",
"Ficd","75197534",
"Xist","80342286",
"D10Bwg1379e","71580156",
"Eif3b","68637856",
"Stk25","68667823",
"Tnfrsf26","70302563",
"Llgl1","646",
"Tmeff1","1300",
"2010110P09Rik","69202232",
"Nr1h5","70300583",
"Tcl1","68667730",
"2810403G07Rik","71161018",
"Rbm11","1412",
"4921539E11Rik","71891593",
"Ktn1","74635451",
"P2rx2","69860986",
"Plekhn1","74822579",
"Prr16","69443415",
"Col24a1","76081093",
"Cyp2c38","70720259",
"Gm16223","70787059",
"Lyzl4","68444750",
"Nsun3","75988297",
"4930447A16Rik","74076234",
"Artn","71495819",
"Pias2","294017",
"Pxt1","70300971",
"Krtap5-3","70228322",
"Sp2","70439165",
"D030059C06Rik","71161471",
"5930437A14Rik","74562278",
"3110073H01Rik","71212123",
"Pde1a","783",
"Giyd2","74000594",
"Ptgs1","79911536",
"9130206I24Rik","69446559",
"Efhd2","69671911",
"Unc5d","70302908",
"Socs4","69885648",
"Dusp3","68342276",
"B230319C09Rik","70231146",
"Fam20a","67881769",
"Slc16a8","74431453",
"Tmprss7","75233739",
"1700016M24Rik","70201283",
"Snap29","68545717",
"Lce1m","70785128",
"Rer1","76098401",
"Slc18a2","968",
"Hras1","67979018",
"Pex11a","68441472",
"Nrarp","70593339",
"Acacb","69514648",
"LOC433969","70787197",
"Ucp3","70194546",
"Ppil5","71991858",
"G6b","73513774",
"Olfm4","73712780",
"E2f2","372",
"Tspan14","75828167",
"Vwc2l","69449014",
"Ildr1","69014973",
"P2ry13","69258280",
"Fut4-ps1","74265261",
"Tcam1","69113811",
"Cdk13","71021144",
"Taok3","70305233",
"Drd2","81790728",
"5430427O19Rik","70218920",
"Wdr11","75990608",
"Lrrn1","69173244",
"Poldip3","71487151",
"Ppp1r12b","76003611",
"Dok3","76003519",
"Atp4a","70528258",
"P2rx6","72183007",
"1700063K16Rik","73497711",
"LOC434324","70793887",
"Vgll2","71488889",
"Adcy5","80",
"Gpr162","67767446",
"Pcbp3","769",
"Pex3","68410632",
"Myoc","71234527",
"Gnb1l","532696",
"4930546C10Rik","70218324",
"Rasa4","69838561",
"Clca4","70593135",
"Rorb","79360296",
"Dbpht2","71496417",
"Ehf","79534956",
"Ank1","69236610",
"Srpx","68498570",
"Tmem30a","70429214",
"Pnkp","69015093",
"Gmps","1362",
"Tgtp1","71656098",
"Gm51","71789963",
"BC088983","71211560",
"Dnaic2","70611114",
"Olfr324","74720997",
"Arpc4","69013768",
"Mcl1","68203510",
"C1qtnf9","70228041",
"Prkab2","69013603",
"Brpf1","68845562",
"Ghdc","69608471",
"Dlx6os1","80342185",
"Slc3a2","69873971",
"Fam187b","71919182",
"Diras1","68861791",
"C77080","69531121",
"Fgf14","431",
"Brsk2","73513582",
"Parva","68844421",
"Selk","386004",
"Sh2d4b","69608396",
"Psmd7","71377824",
"BC024814","68148735",
"Trmt112","71654121",
"Dok1","68910956",
"F730205C23Rik*","73767199",
"Trim2","69838371",
"Dync2li1","378552",
"Gramd4","69528553",
"Kif1c","69735765",
"Tmem151b","70295614",
"Skor1","69530929",
"Aldoart2","70919179",
"Mrgprg","69258166",
"A430048G15Rik","70228412",
"LOC433696","72471829",
"Acad11","69549625",
"Dbc1","69012753",
"LOC433322","70723098",
"Edn2","68162247",
"Akr1c20","68410548",
"Mybpc2","67787360",
"Dock4","70238931",
"A730085E03Rik","71494738",
"Hnrnpab","73716596",
"Fhl5","75851046",
"Srpk2","634451",
"LOC546020","68795465",
"Pigq","294046",
"Banf2","69114168",
"Nt5c2","69134634",
"Itpkc","69549300",
"Mfsd6l","68410626",
"9230109C12Rik*","73870587",
"Hyal1","68301132",
"Zfp672","70528049",
"Whsc1l1","74562588",
"Pcsk1n","779",
"Atg2b","68499314",
"Csnk2a2","70524283",
"2810021J22Rik","68918970",
"Atp11c","70231040",
"Ppargc1a","70813293",
"Snapc2","80526202",
"Cidec","69548952",
"Cd4","68563116",
"4930564C03Rik","70218402",
"Nwd1","69447966",
"Olfr720","74734884",
"Ero1l","68545150",
"Slc37a1","78534512",
"Pcsk7","69059805",
"D230038L04Rik*","73834373",
"Pax2","69816667",
"Csprs","69734738",
"4833415N18Rik","71022912",
"Usp33","71764757",
"Grwd1","67792214",
"Noxo1","69080483",
"Ndrg2","79912570",
"Cdh6","239",
"Tmem171","70298411",
"Plcxd2","70611461",
"Spinlw1","69114679",
"Caskin2","68744444",
"Rpl5","68633062",
"Golim4","71281307",
"2310069G16Rik","71212404",
"Cadm3","69169911",
"Katnal1","386005",
"Sema5a","77932136",
"Cdx4","69288848",
"Golga4","517",
"Pla2g12b","68499153",
"Tmem205","68341466",
"4930558G23Rik*","73927546",
"Tns3","71213683",
"Asnsd1","75826628",
"1700029M20Rik","71891611",
"Gm1611","71570763",
"Pvrl3","69816733",
"Birc2","69529304",
"Psmb8","68269544",
"D330010C22Rik","72283575",
"Dlg5","545115",
"Alas2","71723851",
"Fbxw17","68743913",
"Prr11","68161471",
"Exoc5","71152306",
"Cradd","79539642",
"Gm980","70298555",
"Polr1d","68499368",
"Olfr576","74724217",
"1700019O17Rik","71377957",
"LOC433173","70722964",
"Fzd4","2242",
"Dyrk1b","70473873",
"Ssh2","74300807",
"Prr3","512753",
"Efemp1","71724468",
"Ccdc129","70238686",
"Kif22","72726",
"Cwh43","75693019",
"2700081L22Rik","74635701",
"Rab23","68161464",
"Olfr365","74724055",
"Ppp3r1","70812895",
"Ccdc6","77620271",
"2900010J23Rik","81599676",
"Dnahc11","69626933",
"Smarcc2","69444723",
"Arid4b","69169905",
"2810433D01Rik","73716590",
"Klhl32","74578218",
"D430041D05Rik","69608959",
"1700067P10Rik","69113698",
"Tbca","68861975",
"Synj1","1288",
"Exoc1","77620453",
"Polb","69174511",
"Srrm1","69885756",
"Itpkb","69735640",
"Gzmf","70724774",
"Wwtr1","70429501",
"Kcng3","70278129",
"H2-M1","70724786",
"C230073O14Rik","71152509",
"6530402F18Rik","74265351",
"Sycn","68342069",
"4921531P07Rik","70205674",
"Adam32","74581193",
"Ddx42","69626754",
"BC034076","68191120",
"Smyd3","69874204",
"Sgtb","70439135",
"D330025C20Rik","74076042",
"1810022C23Rik","68666625",
"Pcdhb10","79354816",
"Sumo2","74990518",
"Zp3r","72004495",
"4930511I11Rik","75850471",
"Prim2","68795443",
"Fam129a","70300541",
"Sfpq","69873624",
"Ppfibp2","69817193",
"Prepl","70431259",
"Gata2","486",
"Adarb1","71161387",
"7120411E18Rik*","73906065",
"Cxcl2","69608309",
"AU020206","70813203",
"Zfp353","71808540",
"Tshz1","69174535",
"Cnn1","75988363",
"Anxa7","71495771",
"Usp21","68301736",
"Olfr13","73635574",
